,brand,model,OS,RAM,approx_price_EUR,battery_removable,battery_type,battery_mah,CPU_cores,CPU_speed,primary_camera_mp,secondary_camera_mp,internal_memory_gb
738,Asus,Zenfone 3 Laser ZC551KL,Android,2,270.0,False,Li-Ion,3000,8,1.4,13,8,32
739,Asus,Zenfone 3 ZE520KL,Android,3,360.0,False,Li-Ion,2600,8,2.0,16,8,32
740,Asus,Zenfone Pegasus 3,Android,2,210.0,False,Li-Ion,4100,4,1.3,13,5,16
742,Asus,Zenfone 3 Ultra ZU680KL,Android,3/4,700.0,False,Li-Ion,4600,8,1.8,23,8,64
743,Asus,Zenfone 3 Deluxe ZS570KL,Android,4/6,690.0,False,Li-Ion,3000,4,2.15,23,8,64
744,Asus,Zenfone 3 ZE552KL,Android,3,450.0,False,Li-Ion,3000,8,2.0,16,8,32
745,Asus,Zenfone Max ZC550KL (2016),Android,2,170.0,False,Li-Po,5000,8,1.5,13,5,32
746,Asus,Zenfone Go ZB450KL,Android,1,110.0,True,Li-Po,2070,4,1.2,8,2,8
747,Asus,Zenfone Go ZB452KG,Android,1,90.0,True,Li-Po,2070,4,1.2,5,VGA|,8
748,Asus,Zenfone Go ZB551KL,Android,2,150.0,True,Li-Ion,3010,4,1.6,8,5,32
749,Asus,Zenfone Go T500,Android,2,110.0,True,Li-Po,2500,4,1.2,8,5,16
